anime_id,genres,name,type,episodes,aired,producers,licensors,studios,source,duration,rating,synopsis,image_url
12431,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",宇宙兄弟,TV,99,"Apr 1, 2012 to Mar 22, 2014","Aniplex, Dentsu, YTV, Trinity Sound",Sentai Filmworks,A-1 Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"On a fateful summer night in 2006, Mutta Nanba and his younger brother Hibito witness what they believe to be a UFO flying toward the Moon. This impressing and unusual phenomenon leads both siblings vowing to become astronauts, with Hibito aiming for the Moon and Mutta, convinced that the eldest brother has to be one step ahead, for Mars.

Now an adult, life hasn't turned out how Mutta had pictured it: he is diligently working in an automotive company, whereas Hibito is on his way to be the very first Japanese man to step on the Moon. However, after losing his job, Mutta is presented with an unexpected opportunity to catch up to his younger brother when the Japanese Aerospace Exploration Agency, commonly known as JAXA, accepts his application to participate in the next astronaut selection. Despite self-doubts about his prospects, Mutta is unwilling to waste this chance of a lifetime, and thus embarks on an ambitious journey to fulfill the promise made 19 years ago.",https://cdn.myanimelist.net/images/anime/1290/135694.jpg
457,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",蟲師,TV,26,"Oct 23, 2005 to Jun 19, 2006","Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Funimation,Artland,Manga,25 min. per ep.,PG-13 - Teens 13 or older,"""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows.

This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence.

So what are Mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life.

Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer.

It could, after all, lead to the meaning of life itself.",https://cdn.myanimelist.net/images/anime/2/73862.jpg
21939,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",蟲師 続章,TV,10,"Apr 5, 2014 to Jun 21, 2014","Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Perceived as strange and feared by man, over time the misshapen ones came to be known as Mushi. Although they harbor no ill intentions towards humans, many suffer from the side effects of their existence and strange nature; exploiting the Mushi without understanding them, even unintentionally, can lead to disaster and strife for any involved. Mushishi Zoku Shou continues the story of Mushishi Ginko on his journey to help the visible world to coexist with the Mushi.

During his travels, Ginko discovers various gifted individuals—those cursed by circumstance and those maintaining a fragile symbiosis with the Mushi—inevitably confronting the question of whether humanity, talented and tortured alike, can manage the responsibility of the unseen. Moreover, as a Mushishi, Ginko must learn more about these strange beings and decide if he has the right to interfere with the complex relationships between Mushi and mankind.",https://cdn.myanimelist.net/images/anime/13/58533.jpg
21033,"Comedy, Ecchi, Fantasy, School",星刻の竜騎士,TV,12,"Apr 5, 2014 to Jun 21, 2014","Media Factory, AT-X, Sony Music Communications, Tsukuru no Mori",Funimation,C-Station,Light novel,24 min. per ep.,R+ - Mild Nudity,"Learning to ride and tame dragons comes easy to most students at Ansarivan Dragonar Academy—except for first-year student Ash Blake, who is known by his fellow classmates as the ""number one problem child."" Poor Ash is the laughing stock at school because, despite his unfashionably large star-shaped brand that marks him as a future dragon master, he has nothing to show for it. His dragon has never appeared.

Until now, that is. One fateful day, Ash's dragon awakes in full glory, but appears different than any dragon ever seen before—in the form of a beautiful girl! What's worse, Ash soon discovers that this new dragon has attitude to spare, as she promptly informs him that she is the master, and he, the servant.

Ash's problems with dragon riding have only just begun.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/13/56419.jpg
696,"Comedy, Harem, Romance, Sci-Fi, Shounen, Space",天地無用！,TV,26,"Apr 2, 1995 to Sep 24, 1995","TV Tokyo, Pioneer LDC","Funimation, Geneon Entertainment USA",AIC,Original,23 min. per ep.,PG-13 - Teens 13 or older,"Tenchi Masaki's life changes forever when the ship of an infamous space pirate, Ryouko Hakubi, is shot down and crashes near his family's temple. Little did Tenchi know that by saving Ryouko, he would spark a series of events that would lead alien women from all walks of life to inhabit his home. This includes the delicate Princess Aeka of Jurai and her playful younger sister Princess Sasami; the scatterbrained first-class detective Mihoshi Kuramitsu and her more capable partner Kiyone Makibi; and the eccentric, mad scientist Washuu Hakubi.

The six women do their best to adapt to their new lives, but their more advanced and exotic lifestyle does not mesh well with the simplistic customs on Earth. As a result, they just end up making a mess and causing trouble for poor Tenchi. Though the girls are a pain, Tenchi begins to form a close relationship with each of them, and through their bond, he begins to gain a better understanding of his role in the universe.",https://cdn.myanimelist.net/images/anime/3/61663.jpg
34822,"Romance, School",月がきれい,TV,12,"Apr 7, 2017 to Jun 30, 2017","Sotsu, Mainichi Broadcasting System, flying DOG",Funimation,feel.,Original,24 min. per ep.,PG-13 - Teens 13 or older,"With a new school year comes a new crowd of classmates, and for their final year of junior high, aspiring writer Kotarou Azumi and track team member Akane Mizuno end up in the same class. Though initially complete strangers, a few chance encounters stir an innocent desire within their hearts. A yearning gaze, a fluttering heart—the hallmarks of young love slip into their lives as fate brings their paths to a cross.

However, though love is patient and love is kind, Kotarou and Akane discover it is not always straightforward. Despite the comfort they find in each other's company, heartache and anxiety come hand in hand with pursuing the feelings in their hearts. With the uncertainty of how the other truly feels as well as the competing affections of those around them, the road ahead is unclear. Even so, under the shining light of a beautiful full moon, Kotarou gathers his courage to ask Akane a single question, one that forever changes their quiet relationship.",https://cdn.myanimelist.net/images/anime/2/85592.jpg
28701,"Action, Fantasy, Magic, Supernatural",Fate/stay night [Unlimited Blade Works] 2nd シーズン,TV,13,"Apr 5, 2015 to Jun 28, 2015","Aniplex, Notes",Aniplex of America,ufotable,Visual novel,23 min. per ep.,R - 17+ (violence & profanity),"In the midst of the Fifth Holy Grail War, Caster sets her plans into motion, beginning with the capture of Shirou's Servant Saber. With the witch growing ever more powerful, Rin and Archer determine she is a threat that must be dealt with at once. But as the balance of power in the war begins to shift, the Master and Servant find themselves walking separate ways.

Meanwhile, despite losing his Servant and stumbling from injuries, Shirou ignores Rin's warning to abandon the battle royale, forcing his way into the fight against Caster. Determined to show his resolve in his will to fight, Shirou's potential to become a protector of the people is put to the test.

Amidst the bloodshed and chaos, the motivations of each Master and Servant are slowly revealed as they sacrifice everything in order to arise as the victor and claim the Holy Grail.",https://cdn.myanimelist.net/images/anime/1881/124810.jpg
5231,"Sports, Super Power, Shounen",イナズマイレブン,TV,127,"Oct 5, 2008 to Apr 27, 2011","TV Tokyo, Dentsu, Half H.P Studio",Unknown,OLM,Game,24 min. per ep.,G - All Ages,"While other schools in Japan compete for the title of being the best soccer team in the country, Raimon Middle School's soccer club, Inazuma Eleven, struggles to rise from the verge of being disbanded. The grandson of Inazuma Eleven's first generation goalkeeper and captain of the team, Mamoru Endou, takes the challenge of kicking the long neglected club back into shape. To do this, he'll need a little help and more than a little luck.

Mamoru Endou finds hope in the hands of Shuuya Gouenji, a brilliant young player who has given up on soccer. Mamoru is determined to get Shuuya and other new recruits to join his team, no matter what the cost. Is his passion and determination enough to treat the ailing club? Or is there no more hope for the team?",https://cdn.myanimelist.net/images/anime/1854/94704.jpg
239,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",巌窟王,TV,24,"Oct 6, 2004 to Mar 30, 2005","GDH, TV Asahi, Media Factory, Sotsu Music Publishing","Funimation, Geneon Entertainment USA",Gonzo,Novel,24 min. per ep.,R - 17+ (violence & profanity),"In the year 5053, French aristocrats Viscount Albert de Morcerf and Baron Franz d'Epinay attend the festival of Carnival on the moon city of Luna. While Franz is just looking to have fun, Albert is seeking something more to fill his life—but he finds more than he bargained for in The Count of Monte Cristo, a mysterious and charming self-made nobleman who meets his gaze during an opera performance.
 
Through a few twists and turns, Albert befriends the Count and introduces him into French society. The Count, however, has more on his mind than just friendship; he plots to finally unleash his vengeance on those who wronged him years earlier. Gankutsuou follows Albert and the Count's intertwined destinies and the ultimate price paid for enacting revenge.",https://cdn.myanimelist.net/images/anime/10/2235.jpg
25397,"Action, Harem, Supernatural, Romance, Ecchi, School",アブソリュート・デュオ,TV,12,"Jan 4, 2015 to Mar 22, 2015","Half H.P Studio, AT-X, feng, Showgate",Funimation,8bit,Light novel,24 min. per ep.,R - 17+ (violence & profanity),"Individuals who can materialize weapons from their soul are called ""Blazers,"" and they attend Kouryou Academy High School in order to harness their abilities. Each student is required to partner with another, in the hopes that one day, the pair can attain the power of Absolute Duo.

Tooru Kokonoe hopes to attend this academy in order to gain power after his sister and friends were slain by a mysterious man. However, at the opening ceremony, he is forced to duel against the person sitting next to him, with the loser being expelled. As Tooru prepares to give the match his all, it is not a weapon that manifests from his soul, but a shield, an irregularity which catches the attention of a foreign student named Julie Sigtuna.",https://cdn.myanimelist.net/images/anime/4/68839.jpg
122,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",満月をさがして,TV,52,"Apr 6, 2002 to Mar 29, 2003",Nihon Ad Systems,VIZ Media,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Two years ago, Mitsuki Kouyama's friend, Eichi Sakurai, moved to America before she could confess her feelings to him. Though she cannot contact him, they made a promise to fulfill their respective dreams: Mitsuki wants to become a professional singer, and Eichi an astronomer. She hopes that one day her music will reach him across the world with a brilliance like that of the full moon.

There is just one catch: Mitsuki suffers from throat cancer, which makes her voice quiet and singing strenuous. Her grandmother, who has a hatred of music, insists that Mitsuki undergo surgery to remove the cancer, but she refuses due to the risk of losing her voice. One day, two shinigami—Meroko Yui and Takuto Kira—appear to tell her that she only has one year left to live. This sudden revelation spurs Mitsuki into action, and she decides that with Meroko and Takuto's help, she will become a professional singer in the time she has left.

Full Moon wo Sagashite follows the emotional story of Mitsuki and her shinigami friends as they discover what it means to sing—and ultimately, what it means to live.",https://cdn.myanimelist.net/images/anime/1900/99154.jpg
31098,"Action, Adventure, Comedy, Demons, Supernatural, Shounen",うしおととら,TV,13,"Apr 1, 2016 to Jun 24, 2016","Sotsu, Showgate, Tokuma Japan Communications, Daiichi Shokai",Sentai Filmworks,"MAPPA, Studio VOLN",Manga,24 min. per ep.,PG-13 - Teens 13 or older,Continuation of Ushio to Tora TV series.,https://cdn.myanimelist.net/images/anime/1092/117404.jpg
32542,"Slice of Life, Comedy, School, Seinen",坂本ですが？,TV,12,"Apr 8, 2016 to Jul 1, 2016","Kadokawa Shoten, TBS, DAX Production, Daiichikosho, King Records, NichiNare",Sentai Filmworks,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Sophisticated, suave, sublime; all words which describe the exceedingly handsome and patently perfect Sakamoto. Though it is only his first day in high school, his attractiveness, intelligence, and charm already has the girls swooning and the guys fuming with jealousy. No one seems able to derail him, as all attempts at tripping him up are quickly foiled. His sangfroid is indomitable, his wits peerless. Will any of Sakamoto's classmates, or even teachers, be able to reach his level of excellence? Probably not, but they just might learn a thing or two trying...",https://cdn.myanimelist.net/images/anime/4/79468.jpg
180,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",ヴァンドレッド,TV,13,"Oct 3, 2000 to Dec 19, 2000","GDH, Dentsu, Media Factory","Funimation, Geneon Entertainment USA",Gonzo,Original,22 min. per ep.,PG-13 - Teens 13 or older,"In Vandread, men are from Mars and women are from Venus! Well, not quite. Technology has allowed mankind to colonize the entire Milky Way galaxy, and in one star system, the men and women live on two different planets, Taraak and Mejere. A bitter and very literal gender war rages, to the point where they don't even see each other as the sames species anymore!

Hibiki Tokai, a male third-class laborer from Taraak, ends up stuck on a battleship after a botched attempt at stealing a robot. When female pirates capture the Taraakian Vanguard, things don't look like they could get any worse for Hibiki. Unfortunately, they do; when the male crew of the Vanguard fire on their captured vessel out of desperation, they created a giant wormhole, which sucks the Vanguard and the Mejeran pirate's ships into itself! Now, stuck far away from their home planets, these men and women must learn to work together if they ever wish to make it back home.",https://cdn.myanimelist.net/images/anime/5/75446.jpg
27891,"Action, Adventure, Fantasy, Game",ソードアート・オンライン II,Special,1,"Oct 11, 2014","Aniplex, Genco",Unknown,A-1 Pictures,Light novel,24 min.,PG-13 - Teens 13 or older,"Recap episode of the Phantom Bullet arc, also known as Episode 14.5.",https://cdn.myanimelist.net/images/anime/10/67587.jpg
322,"Comedy, Drama, Josei, Romance, Slice of Life",Paradise kiss,TV,12,"Oct 14, 2005 to Dec 30, 2005","Aniplex, Fuji TV",Geneon Entertainment USA,Madhouse,Manga,24 min. per ep.,R - 17+ (violence & profanity),"On her way home from school, Yukari Hayasaka is approached by a weird-looking guy who starts looking at her body intently. He's got blond spiky hair, a spiked choker, and multiple piercings on his ears and face. She wants nothing to do with him, and runs away, only to bump into a very tall and beautiful purple-haired woman with a flower pattern around her eye. Yukari faints from shock and wakes up later in a strange place called the Atelier. It turns out that these strangers are fashion designers who attend the most famous art school around, Yazawa Art Academy, and their group wants Yukari to model for their brand in Yazawa Academy's upcoming show.

Yukari turns down their offer and escapes the Atelier, but unknowingly leaves her school ID behind. George Koizumi, the head designer, later sees it and immediately knows she would be the perfect model for them and will not stop until he gets what he wants—and he wants her. Yukari had never considered something as frivolous as modeling before, but could life among these eccentric designers actually prove to be fun? Or will Yukari lose herself in this world of art and passion?",https://cdn.myanimelist.net/images/anime/7/80636.jpg
38753,"Comedy, Drama, Romance, School, Shounen",荒ぶる季節の乙女どもよ。,TV,12,"Jul 6, 2019 to Sep 21, 2019","Mainichi Broadcasting System, Kodansha, DMM pictures",Sentai Filmworks,Lay-duce,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"When they were little kids laughing and playing together, Izumi Norimoto and Kazusa Onodera were like siblings. But as their bodies matured into middle school, Kazusa began seeing him as something different; unfortunately for her, so did the other girls. Ostracized, Kazusa had no choice but to distance herself from him going into high school. After joining the literature club, however, she finds friends that keep her mind occupied. Known throughout the school for reading aloud sex scenes in literature novels, the club's reputation has kept all teachers from accepting the task of being their adviser.
    
During a discussion about what they would put on their bucket list, one of the girls says one thing: sex. This single word sends ripples throughout the five girls, as the thought of sex begins taking over their daily lives. And, after walking in on Izumi during a very private moment, Kazusa is sent into a spiral of emotion that forces her to face her true feelings for him. Now, with their hearts racing and the literature club facing immediate disbandment, the five girls must work hard to keep both their sanities and their club alive.",https://cdn.myanimelist.net/images/anime/1622/111483.jpg
24893,"Action, Sci-Fi, Space, Mecha, Seinen",シドニアの騎士 第九惑星戦役,TV,12,"Apr 11, 2015 to Jun 27, 2015","Starchild Records, Mainichi Broadcasting System, Kodansha, Studio Mausu",Sentai Filmworks,Polygon Pictures,Manga,24 min. per ep.,R - 17+ (violence & profanity),"After barely escaping a collision with a gigantic Gauna at the cost of many human lives, Kobayashi—the captain of the spaceship Sidonia—is prompted to change her political paradigm. Once she seizes full power, Kobayashi aims to eradicate the Gaunas from the Lem system where former Sidonians have recently established a colony. Her ambition is justified by two breakthroughs: the development of highly effective, long-range anti-Gauna weapons, and the creation of Tsumugi Shiraui—the first human-Gauna chimera possessing great destructive power.

Facing hostility toward chimeras and her uncertain large-scale military expedition, Kobayashi enlists the help of the new elite pilot Nagate Tanikaze. Due to his personal experiences with Shizuka Hoshijiro and Benisuzume's placenta, Tanikaze soon develops a close bond with Tsumugi. As the final battle against humanity's most formidable opponent approaches, Tanikaze tries to enjoy the last days of peace with his friend Izana Shinatose—all while Kobayashi secretly pursues the development of an experimental weapon that could very well lead to the complete destruction of Sidonia.",https://cdn.myanimelist.net/images/anime/11/72712.jpg
23847,"Slice of Life, Comedy, Drama, Romance, School",やはり俺の青春ラブコメはまちがっている。続,TV,13,"Apr 3, 2015 to Jun 26, 2015","TBS, Marvelous AQL, NBCUniversal Entertainment Japan",Sentai Filmworks,feel.,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,"With the Volunteer Service Club now firmly established, it is receiving more requests from students in search of solutions to their various issues. However, the club members often struggle to see eye to eye when it comes to their problem-solving ideals. The suggestions that Hachiman Hikigaya recommends frequently clash with those of Yukino Yukinoshita, fracturing the relationships within the club. 

Despite their differences, with the trio constantly trying to find common ground, they may soon reach a point where they discover something genuine.",https://cdn.myanimelist.net/images/anime/11/75376.jpg
3974,"Action, Sci-Fi, Comedy",鉄腕バーディー (2008),TV,13,"Jul 5, 2008 to Sep 27, 2008","Aniplex, Shogakukan",Funimation,A-1 Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"While pursuing an alien fugitive, Birdy Cephon Altera—a bombastic police officer from the Space Federation—finds herself on Earth. Her target, Geega, has disguised himself as a human and assimilated into the fashion industry, so Birdy follows suit and joins a modeling agency, taking on the identity ""Shion Arita."" Her position as a rising model has her posing for photo shoots by day and chasing intergalactic criminals by night.

Meanwhile, Tsutomu Senkawa, an average high school student, explores an abandoned building with his friend, and coincidentally, Birdy has tracked down Geega to the same building. Senkawa briefly witnesses the battle before being seized as a hostage by Geega. However, Birdy, oblivious, attacks Geega and accidentally kills Senkawa. Distraught, she quickly decides to save him by integrating his consciousness into her body.

Now, Birdy and Senkawa must not only cohabitate the same body, but also balance Senkawa's high school life, Shion Arita's modeling career, and Birdy's increasingly dangerous job as a Federation officer.",https://cdn.myanimelist.net/images/anime/1242/95178.jpg
